Datum;Von;Bis;Dauer [h];Geplante Dauer [h];dauer_summe;Hide;Phase;Subphase;Tätigkeit;Bemerkung;Schwierigkeit;Lösungen
19.04.2024;08:00;11:00;3;0;0;0;Evaluation;Analyse PostgreSQL HA Cluster Lösungen;StackGres Benchmarking;Auch pgbench muss manuell ausgeführt werden;;
19.04.2024;13:00;19:00;6;0;0;0;Evaluation;Analyse PostgreSQL HA Cluster Lösungen;Patroni  Installation / Testing;;etcd-Server bereitet Probleme;Vereinfachen soweit möglich
20.04.2024;10:00;12:00;2;0;0;0;Evaluation;Analyse PostgreSQL HA Cluster Lösungen;Patroni Benchmarking;;;
20.04.2024;14:00;16:00;2;0;0;0;Evaluation;Analyse PostgreSQL HA Cluster Lösungen;Patroni Benchmarking / grosse Volumes;Auf erweiterte Disk umstellen und letzten Benchmark fahren;;
22.04.2024;09:00;09:15;0.25;0;0;0;Evaluation;Gegenüberstellung;;;;
22.04.2024;09:30;11:00;1.5;0;0;0;Dokumentation;Dokumentation;Dokumentation erweitern;;;
23.04.2024;13:45;14:00;0.25;0;0;0;Evaluation;Gegenüberstellung;;;;
24.04.2024;15:00;17:00;2;0;0;0;Dokumentation;Dokumentation;Dokumentation erweitern;;;
25.04.2024;14:00;16:00;0;0;0;0;Evaluation;Gegenüberstellung;;;;
26.04.2024;13:30;14:30;1;0;0;0;Evaluation;Variantenentscheid;;;;
26.04.2024;14:30;17:30;3;0;0;0;Dokumentation;Dokumentation;Dokumentation erweitern;;;
