Server;Funktion;Full Qualified Device Name;Domain;IP
sks1000;\Gls{Ansible} Host;sks1000.sivc.first-it.ch;sivc.first-it.ch;10.0.20.43
sks9016;\Gls{HAProxy}- und Patroni Node;sks9016.ksgr.ch;ksgr.ch;10.0.28.16
