id,x-axis,y-axis,risk-id,x-axis-text,y-axis-text,x-axis-bubble,y-axis-bubble
1,2,1,1,2,2,2.5,2.5
2,2,2,2,2,2,2.5,2.5
3,2,2,3,2,2,2.5,2.5
4,3,2,4,2,2,2.5,2.5
5,2,1,5,2,2,2.5,2.5
6,3,2,6,2,2,2.5,2.5
7,2,2,7,2,2,2.5,2.5
8,3,1,8,2,2,2.5,2.5
